"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-30 08:05:00,104.982876712329,1.55345592084872,18.6728050171038,17.1623717217788,1014.55640250855,9051.41318129989
2023-06-30 08:10:00,105.114155251142,1.55300728708108,18.6762257696693,17.1640820980616,1014.55485746864,9058.29464082098
2023-06-30 08:15:00,105.262557077626,1.55255806578,18.6802166476625,17.1657924743444,1014.55311858609,9064.71733751425
2023-06-30 08:15:00,105.228310502283,1.55210796317878,18.6836374002281,17.1675028506271,1014.55176738883,9069.30497719498
2023-06-30 08:20:00,105.376712328767,1.55165727304411,18.6876282782212,17.1692132269099,1014.55022234892,9072.05755986317
2023-06-30 08:25:00,105.510553337136,1.55120654497622,18.6900854700855,17.1702564102564,1014.54772079772,9076.05834757835
2023-06-30 08:30:00,105.459212778095,1.55075581690832,18.6946438746439,17.1731054131054,1014.54617663818,9079.72637037037
2023-06-30 08:35:00,105.413576725613,1.55030593721576,18.6992022792023,17.1753846153846,1014.54463247863,9084.3113960114
2023-06-30 08:40:00,105.367940673132,1.54985520914786,18.7037606837607,17.1776638176638,1014.54328205128,9088.89642165242
2023-06-30 08:45:00,105.32230462065,1.54940448107997,18.7077492877493,17.179943019943,1014.54193162393,9094.39845014245
2023-06-30 08:50:00,105.436394751854,1.54895316564405,18.7117378917379,17.1822222222222,1014.54058119658,9099.90047863248
2023-06-30 08:55:00,105.385054192812,1.54850126284012,18.7157264957265,17.1845014245014,1014.53923076923,9106.31951566952
2023-06-30 09:00:00,105.333713633771,1.54804936003619,18.7197150997151,17.1867806267806,1014.53788034188,9112.73855270655
2023-06-30 09:05:00,105.453508271535,1.54759775628703,18.7237037037037,17.1890598290598,1014.53652991453,9119.15758974359
2023-06-30 09:10:00,105.579007415859,1.54714530355206,18.7276923076923,17.191339031339,1014.53517948718,9125.57662678063
2023-06-30 09:15:00,105.706955530217,1.54669226328366,18.73069476082,17.1923690205011,1014.53268792711,9129.54465831435
2023-06-30 09:20:00,105.838084378563,1.54623922301526,18.7352505694761,17.1946469248292,1014.53133826879,9135.96003986333
2023-06-30 09:25:00,105.798175598632,1.54578563202352,18.7398063781321,17.1974943052392,1014.52998861048,9142.83366173121
2023-06-30 09:30:00,105.818596691386,1.54533204103177,18.7413675213675,17.1987464387464,1014.53112820513,9146.20924216524
2023-06-30 09:35:00,105.978322875071,1.54487845004003,18.7459259259259,17.2010256410256,1014.52977777778,9153.54528205128
2023-06-30 09:40:00,106.143753565317,1.54442485904828,18.7499145299145,17.2033048433048,1014.52842735043,9160.42282051282
2023-06-30 09:45:00,106.103822019395,1.54397041817082,18.7539031339031,17.205584045584,1014.52707692308,9167.75886039886
2023-06-30 09:50:00,106.075299486594,1.54351626826359,18.7578917378917,17.2078632478632,1014.52572649573,9175.5534017094
